loss,metric_acc,metric_f1,metric_precision,metric_recall,time,lr,val_loss,val_metric_acc,val_metric_f1,val_metric_precision,val_metric_recall,val_time
477604658282496.0,0.27210885,0.2020846765527617,0.18042419784223063,0.2647058823529412,0.16000008583068848,0.01,476548398317568.0,0.24604966,0.09873188405797101,0.061512415349887134,0.25,0.08003878593444824
476759019487232.0,0.292517,0.20448179271708683,0.18046243082162622,0.2836687306501548,0.15000104904174805,0.01,471001414500352.0,0.29270127,0.12600071595938558,0.1286358127556431,0.25557183342139395,0.09000158309936523
473211712045056.0,0.2244898,0.16022256620507885,0.1498891223155929,0.2178792569659443,0.15000200271606445,0.01,455164259467264.0,0.28743416,0.11163062536528347,0.07185854025583145,0.25,0.07999777793884277
462168243830784.0,0.292517,0.23963867008609635,0.24639625080801553,0.28753869969040247,0.15000224113464355,0.01,439369886334976.0,0.28743416,0.11163062536528347,0.07185854025583145,0.25,0.08999824523925781
448834215870464.0,0.21768707,0.1718631806241318,0.17002633983766058,0.2128482972136223,0.15999937057495117,0.01,491403046027264.0,0.28743416,0.11163062536528347,0.07185854025583145,0.25,0.08004140853881836
469859691397120.0,0.27891156,0.20564107531368286,0.17653343388637507,0.27128482972136225,0.14995956420898438,0.01,460633061457920.0,0.28743416,0.11163062536528347,0.07185854025583145,0.25,0.09000420570373535
453527440719872.0,0.21768707,0.1797191263931231,0.17705756572051487,0.21439628482972137,0.1499941349029541,0.01,440153650757632.0,0.28743416,0.11202346041055719,0.07218442932728647,0.25,0.09000539779663086
447419191918592.0,0.21768707,0.1637719298245614,0.1358695652173913,0.21130030959752322,0.1499955654144287,0.01,442020350918656.0,0.3115124,0.19257259547534536,0.15386882487662415,0.28316081464047266,0.09000134468078613
450208135643136.0,0.23129252,0.18456983308787434,0.1839457496237157,0.22678018575851394,0.15999841690063477,0.01,446663277674496.0,0.2468021,0.10009702381421912,0.31155873493975905,0.2506544502617801,0.08003950119018555
454946558312448.0,0.2585034,0.19707955978447783,0.2035377358490566,0.25232198142414863,0.159959077835083,0.01,449278308777984.0,0.24604966,0.09873188405797101,0.061512415349887134,0.25,0.0800018310546875
457053004890112.0,0.24489796,0.18217105263157896,0.15921348980559508,0.238390092879257,0.15999984741210938,0.01,449422223736832.0,0.24604966,0.09873188405797101,0.061512415349887134,0.25,0.07999897003173828
457298791104512.0,0.17687075,0.12549203373945642,0.09945856873822975,0.17105263157894735,0.15999960899353027,0.01,447424493518848.0,0.24604966,0.09873188405797101,0.061512415349887134,0.25,0.08002090454101562
454352342876160.0,0.2857143,0.22970085470085472,0.24924242424242427,0.2801857585139319,0.14999771118164062,0.01,443553754906624.0,0.24604966,0.09873188405797101,0.061512415349887134,0.25,0.08000349998474121
450575288238080.0,0.23809524,0.17922866546145644,0.16268028846153848,0.23181114551083593,0.15000057220458984,0.01,439972758814720.0,0.24604966,0.09873188405797101,0.061512415349887134,0.25,0.07999658584594727
